sample,course,Math,stat,gender,age,TCA1,TCA2,TCA3,TCA4,TCA5,TCA7,TCA8,IA1,IA2,IA3,IA4,IA5,IA6,IA7,IA8,FAH1,FAH2,FAH3,FAH4,FAH5,WS2,WS3r,WS5,WS6,WS7,WS8
1,1,NA,3,NA,NA,4,3,4,3,4,3,4,3,4,3,3,3,3,3,2,2,2,2,4,2,NA,1,2,1,2,2
1,1,NA,1,NA,NA,2,2,2,2,2,1,3,2,2,2,2,2,1,1,2,1,1,1,3,2,3,3,4,3,3,3
1,1,NA,2,NA,NA,3,2,3,1,2,1,2,3,2,3,2,2,2,2,1,2,1,1,2,1,3,3,3,3,2,3
1,1,NA,2,NA,NA,3,3,2,3,2,2,2,3,3,3,3,3,3,1,2,2,2,2,2,1,3,2,3,3,3,2
1,1,NA,1,2,2,2,1,2,1,2,1,3,3,3,2,3,2,2,2,2,1,1,1,3,2,3,4,4,3,3,2
1,0,1,1,2,2,1,1,1,1,2,1,2,2,1,2,2,1,1,1,1,1,1,1,2,1,3,3,3,3,4,3
1,0,1,2,2,2,2,1,2,2,2,2,1,1,3,2,3,2,1,1,1,2,1,1,1,1,2,2,4,1,2,2
1,0,1,2,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,3,2
1,0,1,1,2,1,2,1,1,1,1,1,1,2,2,3,3,3,2,2,1,1,1,1,3,1,3,3,3,2,3,1
1,0,1,2,2,2,2,2,3,1,1,1,1,3,3,3,4,2,3,1,1,1,1,1,4,1,3,3,3,2,3,2
1,0,1,3,2,1,1,1,2,1,2,1,1,2,2,2,2,1,1,2,3,1,1,1,1,1,2,3,3,2,2,2
1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,3,3,3,3,2,1
1,0,1,2,2,2,1,2,2,2,2,1,1,4,2,3,3,2,3,2,1,3,1,1,4,1,2,3,4,3,1,3
1,0,1,1,2,1,2,2,3,2,1,1,2,1,2,2,3,2,1,1,1,1,1,1,2,1,1,1,3,1,2,3
1,0,1,3,1,1,2,2,4,2,3,1,1,3,3,3,3,3,2,2,2,2,2,2,4,2,3,3,3,2,3,4
1,0,1,1,1,1,3,1,3,1,3,1,3,2,2,1,3,2,2,1,1,1,1,1,2,1,3,3,3,3,3,2
1,0,1,2,1,1,2,2,3,2,1,2,1,2,2,1,1,2,1,1,1,2,1,1,1,1,3,3,3,2,3,3
1,0,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,4,4,4,4,4,3
1,0,1,1,1,2,2,2,2,2,2,1,2,2,3,2,2,3,2,2,2,1,1,1,3,1,4,3,4,3,3,3
1,0,1,2,1,2,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,3,4,4,4,3,3
1,0,1,1,1,2,2,1,2,2,2,1,2,2,3,2,2,2,2,2,1,1,1,1,2,1,3,3,3,3,3,3
1,0,1,3,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,3,3,2
1,0,1,3,1,2,3,3,4,3,4,3,4,3,2,3,4,4,2,2,2,4,2,4,4,2,1,2,2,1,1,2
1,0,1,1,1,2,2,1,2,1,2,2,2,2,3,3,2,3,2,2,1,1,1,1,3,1,3,3,3,3,2,3
1,0,1,2,1,1,3,2,4,1,4,1,1,2,2,1,4,2,2,2,1,1,2,1,1,1,3,3,3,2,1,3
1,0,1,1,1,1,2,1,2,1,1,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,3,4,4,3,4,2
1,0,1,2,1,1,4,1,3,1,2,1,2,3,3,1,3,2,1,1,1,1,1,1,1,1,4,4,4,3,4,3
1,0,1,2,1,1,1,1,1,1,2,1,1,1,2,2,3,2,2,1,1,1,1,1,1,1,3,3,3,2,4,3
1,0,1,1,1,1,2,1,2,1,3,1,2,2,2,2,3,2,2,1,2,2,1,2,2,2,3,3,3,3,3,3
1,0,1,2,1,1,2,1,3,1,1,1,2,1,2,1,3,2,1,1,1,1,1,1,2,1,3,2,4,3,2,3
1,0,1,1,1,2,2,1,3,2,2,1,1,3,3,3,2,3,1,2,NA,1,1,1,2,1,3,4,4,4,4,3
1,0,1,2,1,2,1,1,2,1,1,1,1,2,4,3,2,2,2,1,1,1,1,1,1,1,2,4,4,4,4,2
1,0,1,2,1,1,3,2,4,3,4,1,1,3,3,3,2,4,4,3,1,1,1,2,2,1,1,3,4,3,3,1
1,0,1,1,1,1,1,1,3,1,3,1,2,1,2,2,3,1,2,2,1,2,2,1,3,2,4,3,4,3,3,2
1,0,1,2,1,1,2,1,3,2,1,1,2,2,1,2,3,2,1,1,2,2,1,2,3,1,2,3,4,3,3,2
1,0,1,2,1,2,3,1,NA,1,3,2,NA,2,3,2,2,2,2,2,1,1,2,1,2,2,2,2,3,2,3,2
1,0,1,1,1,2,2,2,2,1,3,1,2,2,2,2,3,2,2,1,1,1,1,1,4,1,4,4,4,3,3,2
1,0,1,2,1,1,2,1,2,1,3,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,3,3,4,4,4,3
1,0,1,1,1,2,2,1,2,1,2,1,1,1,1,2,2,1,1,2,1,3,1,2,1,2,4,4,4,3,4,3
1,0,1,1,1,1,2,2,3,2,3,1,2,2,3,3,3,3,2,2,2,2,2,2,2,2,4,4,4,4,4,3
1,0,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,3,4,4,4,4,3
1,0,1,2,1,1,2,1,4,1,3,1,2,3,2,3,3,2,2,2,1,1,1,1,2,1,3,NA,2,NA,2,4
1,0,1,1,1,1,2,2,3,1,2,1,1,2,3,1,3,2,1,1,1,3,1,1,1,1,3,3,4,4,4,3
1,1,1,3,NA,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,3,3,3,2,3
1,1,1,1,NA,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3
1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,3,1,3,4,4,4,3,NA
1,1,1,2,2,1,1,2,3,1,2,1,2,3,1,2,3,2,1,1,1,1,1,1,1,1,2,4,4,4,3,3
1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,3,4,4,4,3,2
1,1,1,3,1,2,2,2,1,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,1,3,4,3,3,2,1
1,1,1,2,1,1,2,1,2,1,2,2,1,2,2,3,2,2,1,1,1,1,1,1,2,1,3,4,3,4,3,2
1,1,1,2,1,1,2,1,2,1,2,2,1,2,2,3,2,2,1,1,1,1,1,1,2,1,3,4,3,4,3,2
1,1,1,3,1,2,2,3,4,2,1,1,1,2,4,4,3,4,3,3,1,1,1,1,4,1,1,1,2,1,1,1
1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,3,3,4,3,3,3
1,1,1,3,1,1,2,1,2,1,3,2,1,3,2,2,2,2,1,2,1,1,1,1,1,1,3,3,3,3,2,3
1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,2,2,2,1,2,1,2,1,2,2,1,4,4,4,4,4,3
1,1,1,2,1,2,2,1,3,1,2,1,2,2,3,1,3,2,1,1,1,1,1,1,2,1,3,3,4,4,3,2
1,1,1,1,1,2,3,1,4,1,2,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3
1,0,1,2,NA,1,2,1,3,1,3,1,1,2,2,1,3,2,1,1,1,3,2,2,2,1,3,3,4,3,4,3
1,0,1,1,NA,2,2,1,2,1,1,1,1,2,1,1,2,1,2,1,1,3,1,1,1,1,3,4,4,3,1,4
1,0,1,2,NA,2,2,2,2,2,2,1,1,2,3,2,3,2,2,1,1,1,1,1,1,1,3,4,4,4,3,2
1,0,1,3,NA,2,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,2,1
1,0,1,2,NA,1,2,1,2,2,2,1,1,3,2,2,2,2,1,1,1,3,1,1,1,1,3,3,3,3,4,NA
1,0,1,3,NA,2,3,2,4,4,4,3,2,3,3,2,4,3,3,2,3,1,3,1,1,3,2,2,2,2,1,1
1,0,1,2,NA,2,3,1,2,1,2,2,2,3,4,3,3,3,2,1,2,2,2,2,1,1,3,3,3,2,3,1
1,0,1,3,NA,1,4,3,4,2,2,2,2,3,3,4,4,3,3,3,2,3,2,2,4,2,2,3,3,2,1,3
1,1,1,2,2,2,2,1,3,1,1,1,1,1,1,1,3,2,2,1,1,4,2,1,3,2,3,3,2,2,4,2
1,1,1,3,2,2,2,1,3,2,2,1,1,2,2,1,3,2,3,1,1,2,1,1,2,1,3,3,4,2,3,4
1,0,1,2,2,1,2,2,4,1,2,1,1,1,2,2,3,2,2,1,1,1,1,1,1,1,3,3,3,1,3,2
1,0,1,1,2,2,2,2,4,3,2,1,2,3,1,1,3,3,2,1,2,1,2,1,1,2,3,3,3,2,3,3
1,0,1,2,2,1,3,1,3,1,1,1,3,1,2,1,3,3,1,1,1,2,1,2,2,2,2,2,4,2,3,3
1,0,1,2,2,2,3,3,3,2,2,3,2,2,4,3,4,2,4,1,2,4,1,2,4,2,1,2,3,1,3,1
1,0,1,2,2,1,2,1,2,1,2,1,1,2,2,2,3,2,2,2,1,1,1,1,1,1,3,3,3,2,3,3
1,0,1,3,2,2,2,2,4,2,2,1,1,2,3,2,3,2,2,1,1,3,1,1,3,1,1,3,3,3,4,4
1,0,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,1,3,1,3,3,4,3,3,4
1,0,1,1,2,2,2,1,3,2,2,1,2,3,3,2,2,3,1,2,2,1,1,1,2,1,3,3,4,4,4,2
1,0,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,3,3,4,4,4,3
1,0,1,1,2,1,2,1,3,1,2,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,3,4,3,3,3,3
1,0,1,2,2,2,4,2,4,3,3,4,4,3,2,2,3,3,2,2,3,4,2,3,4,3,2,3,3,2,3,2
1,0,1,1,2,1,2,1,3,1,2,1,2,3,2,1,2,2,1,1,2,2,1,1,3,1,3,3,4,3,3,3
1,0,1,2,2,2,3,2,4,3,4,2,3,3,2,3,2,3,3,1,3,3,2,2,3,3,3,2,3,2,2,3
1,0,1,1,2,2,2,2,3,2,1,1,1,2,1,2,2,3,2,2,1,1,1,1,2,1,4,3,4,4,3,3
1,0,1,3,2,1,2,1,3,1,3,1,3,3,2,1,2,2,1,1,1,2,1,2,1,2,2,3,4,3,3,3
1,0,1,2,2,NA,3,2,3,2,3,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,2,2,3,2,3,1
1,0,1,2,2,2,4,4,4,4,2,4,1,4,4,3,4,4,3,3,1,2,3,1,2,1,2,NA,3,1,3,2
1,0,1,2,2,1,2,1,2,1,1,1,2,2,2,2,3,2,2,2,1,1,1,1,1,1,3,3,3,3,2,NA
1,0,1,2,2,2,2,1,3,1,1,1,1,2,3,2,2,2,1,1,1,1,1,1,1,1,4,3,4,4,4,3
1,0,1,2,2,2,2,2,3,2,2,1,1,3,2,2,3,2,2,2,1,2,1,1,3,1,3,3,4,4,3,3
1,0,1,1,2,1,2,2,3,2,1,1,2,2,1,2,3,3,2,2,1,1,1,1,1,3,3,3,4,3,4,4
1,0,1,1,2,2,2,1,2,2,1,1,1,2,2,1,3,1,1,1,1,1,1,1,1,1,4,3,4,3,3,2
1,0,1,2,2,1,2,1,3,1,2,2,2,2,2,1,3,2,1,1,1,1,1,1,1,1,3,3,4,3,3,3
1,0,1,2,2,1,3,2,3,1,2,1,2,2,1,2,2,1,1,1,1,1,1,1,2,1,3,3,4,3,2,1
1,0,1,1,2,2,3,2,3,2,2,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,4,3,4,3,4,3
1,0,1,1,2,1,2,1,2,1,1,1,1,3,4,1,4,3,2,1,1,1,1,1,1,1,3,4,4,4,4,3
1,0,1,2,2,1,2,1,3,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,3,3,2,2
1,0,1,2,1,1,NA,3,4,3,3,2,2,4,4,3,3,3,3,2,1,1,1,1,2,1,2,4,4,2,3,3
1,1,1,1,1,2,1,1,2,2,1,1,1,2,2,1,3,2,2,2,2,1,1,1,1,1,4,3,4,2,2,1
1,1,1,1,1,NA,3,2,3,2,2,1,2,3,3,2,3,2,3,3,1,2,2,2,4,2,4,3,4,3,4,3
1,1,1,2,1,2,1,2,4,3,1,1,1,2,3,1,3,3,3,1,1,3,3,3,3,1,2,3,4,2,4,4
1,0,1,1,1,2,2,2,3,3,1,1,2,3,2,3,2,2,1,1,1,1,1,1,2,1,3,3,4,1,4,3
1,0,1,1,1,1,2,3,3,1,1,1,2,3,1,2,2,1,2,1,2,3,1,1,3,1,2,2,3,2,2,3
1,0,1,3,1,2,3,1,2,2,2,1,2,2,3,3,3,2,2,1,1,2,1,1,2,1,2,2,3,3,2,3
1,0,1,2,1,1,2,2,2,2,2,1,1,2,1,1,2,2,1,1,1,1,1,2,3,1,3,4,3,3,3,2
1,0,1,1,1,1,3,2,1,1,1,1,1,3,2,2,3,2,2,1,1,2,1,1,1,1,3,2,3,2,3,3
1,0,1,2,1,1,4,2,4,1,4,2,1,2,2,1,2,2,2,1,2,1,1,1,4,1,3,3,4,3,3,3
1,0,1,2,1,1,2,1,3,2,1,2,1,2,2,1,3,3,2,1,1,1,1,1,1,1,3,3,4,4,3,3
1,0,1,2,1,1,2,1,3,2,2,1,1,3,3,3,4,3,3,2,1,1,1,1,1,1,2,3,3,2,4,3
1,0,1,1,1,1,1,2,2,1,2,1,2,1,2,1,2,2,2,1,1,2,1,2,3,1,3,4,4,3,4,2
1,0,1,2,1,NA,2,2,3,1,2,1,2,2,3,1,3,2,1,1,1,1,1,1,2,1,3,3,4,2,3,3
1,0,1,2,1,1,3,1,4,1,2,1,1,3,2,2,3,2,1,1,1,2,1,2,2,1,3,2,4,3,3,3
1,0,1,3,1,2,3,3,4,2,2,1,1,3,4,1,3,2,2,2,1,2,1,1,1,1,4,2,2,1,1,1
1,0,1,2,1,2,3,2,4,2,3,2,3,2,2,2,2,2,2,1,2,3,2,1,1,1,3,3,4,3,3,3
1,0,1,2,1,1,2,1,2,2,2,2,2,2,2,1,3,3,2,1,1,1,1,1,1,1,3,3,4,3,2,3
1,0,1,3,1,2,2,2,4,2,2,2,4,3,4,4,4,4,3,3,2,4,2,3,2,2,3,1,2,1,1,3
1,0,1,3,1,2,3,2,4,4,1,1,1,3,4,1,4,4,4,4,1,2,2,2,4,3,4,1,4,3,2,2
1,0,1,2,1,2,3,2,4,1,3,1,2,3,3,2,4,3,3,1,2,2,1,1,1,1,3,3,3,3,3,3
1,0,1,2,1,1,2,2,2,1,1,1,1,3,2,3,3,2,2,2,1,3,1,2,1,1,3,3,3,2,2,2
1,0,1,1,1,1,2,1,3,2,2,1,1,3,2,2,3,2,1,1,3,3,1,3,3,1,3,3,3,3,3,3
1,0,1,1,1,1,1,1,3,2,3,2,2,2,2,2,1,3,2,2,2,3,2,3,4,2,3,2,3,2,3,2
1,0,1,2,1,2,4,2,4,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,3,4,3,3,2
1,0,1,2,1,1,2,1,3,2,4,1,3,2,2,3,3,3,2,2,1,1,1,1,2,1,2,2,3,2,3,2
1,0,1,1,1,1,3,1,4,2,2,2,3,2,2,2,3,2,3,4,2,2,2,1,2,3,2,2,3,2,3,3
1,0,1,2,1,1,2,1,2,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,3,3,3,3,3,3
1,0,1,2,1,1,3,2,3,1,3,1,1,3,2,2,2,2,1,1,2,3,1,2,2,1,2,3,3,2,3,3
1,0,1,2,1,1,3,2,3,2,2,2,2,3,3,2,4,3,2,1,2,3,2,1,2,2,3,3,3,3,3,3
1,0,1,3,1,1,3,2,4,2,2,1,2,3,4,3,3,3,3,2,1,3,2,2,3,1,2,2,3,2,2,3
1,0,1,2,1,1,3,1,4,2,2,1,1,3,3,2,2,2,2,2,2,2,1,1,2,1,3,3,3,2,3,3
1,0,1,2,1,1,3,1,4,2,2,1,1,2,2,1,3,3,2,2,1,1,1,1,3,2,3,4,3,3,3,3
1,0,1,2,1,1,3,1,3,1,2,1,2,4,2,3,3,2,2,1,1,3,1,1,1,1,3,4,4,4,3,2
1,0,1,1,1,1,3,1,3,2,2,2,1,3,3,3,3,3,2,2,1,2,1,2,2,1,3,3,4,4,4,3
1,0,1,2,1,1,4,2,4,1,1,1,3,2,3,2,3,3,2,1,1,2,1,1,4,1,3,3,3,3,2,2
1,0,1,2,1,1,2,1,3,1,3,1,3,2,1,2,2,2,1,1,2,1,1,1,2,1,2,3,4,3,3,3
1,0,1,2,1,2,2,2,3,2,2,3,1,3,3,3,3,3,3,3,1,2,2,3,4,2,3,3,3,3,3,2
1,0,1,1,1,2,2,3,1,2,2,2,1,3,2,2,3,3,2,1,2,2,1,2,2,1,3,3,3,2,3,3
1,0,1,2,1,1,3,1,3,2,2,1,2,2,4,2,3,2,3,3,1,1,1,1,1,2,3,3,3,3,4,4
1,0,1,2,1,1,4,3,4,2,3,2,2,4,3,3,4,4,4,3,3,2,3,2,3,NA,2,2,3,2,2,4
1,0,1,2,1,2,2,1,2,1,1,1,1,2,3,2,3,2,2,1,1,1,1,1,1,1,3,4,4,4,4,2
1,0,1,2,1,1,3,2,4,3,2,3,3,3,3,3,3,3,3,2,2,1,1,1,3,1,3,2,3,1,3,3
1,0,1,2,1,2,3,2,3,2,2,2,3,2,3,2,4,2,3,2,1,2,2,1,1,2,3,3,3,2,2,3
1,0,1,2,1,2,3,2,3,1,2,1,2,3,3,2,4,3,2,1,2,1,1,1,1,2,3,3,4,3,3,3
1,0,1,2,1,1,3,1,4,2,1,1,2,2,2,2,2,2,1,1,1,2,NA,2,4,1,3,3,3,2,3,2
1,0,1,2,1,1,3,2,3,2,1,2,2,3,3,3,4,3,3,2,1,1,1,1,1,1,2,2,3,2,3,3
1,0,1,2,1,1,2,2,3,1,2,1,NA,3,2,3,3,2,2,2,1,2,1,2,2,1,3,3,4,3,2,NA
1,0,1,2,1,1,3,2,4,1,2,1,3,2,2,3,2,2,1,2,1,2,1,1,3,1,3,3,3,3,3,2
1,0,1,2,1,1,2,2,2,1,2,1,2,1,2,1,2,2,2,1,1,1,1,1,2,1,3,4,4,3,3,3
1,0,1,2,1,2,2,2,3,1,1,1,2,2,2,1,3,2,3,2,1,1,1,1,3,1,4,3,3,3,3,2
1,0,1,2,1,1,2,1,2,1,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,2,2,4,1,3,3
1,0,1,2,1,1,2,2,2,2,2,1,1,2,2,2,3,2,2,2,1,1,1,1,2,1,3,3,4,3,3,3
1,0,1,2,1,1,2,1,4,1,2,1,3,2,2,3,3,2,2,1,1,1,1,1,1,1,3,3,3,3,2,2
1,0,1,2,1,1,2,2,3,2,1,2,3,4,3,2,4,3,3,2,1,1,1,1,1,1,2,1,3,1,2,3
1,0,1,2,1,1,3,1,3,1,2,1,2,1,2,1,2,2,2,3,1,1,1,1,1,1,4,3,3,3,3,3
1,0,1,2,1,1,3,2,3,1,1,1,2,3,2,1,2,2,1,1,1,2,1,1,3,1,3,3,4,3,3,2
1,0,1,2,1,1,1,1,3,1,2,1,2,2,1,2,2,2,3,1,1,1,1,1,1,1,3,4,4,3,4,3
1,0,1,NA,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,NA,3,NA,1
1,0,1,3,1,2,3,2,4,2,1,1,2,2,1,1,2,2,1,1,1,2,1,1,3,2,2,NA,4,3,4,3
1,0,1,3,1,1,2,2,4,1,2,2,3,2,1,2,3,2,4,2,1,1,1,1,1,2,1,2,3,1,2,4
1,0,1,1,1,1,2,2,3,1,2,1,3,2,3,2,3,2,3,2,1,3,1,1,1,1,3,3,4,4,3,3
1,0,1,2,1,1,4,2,4,2,3,2,2,4,3,3,3,4,3,2,1,3,3,3,4,2,2,1,2,2,2,2
1,0,1,1,1,1,1,1,3,1,2,1,NA,2,2,3,3,1,1,1,1,1,1,1,1,1,3,3,3,2,4,3
1,0,1,3,1,1,4,2,4,2,3,2,3,3,3,3,4,4,4,3,2,2,2,2,2,3,1,1,4,1,2,2
1,0,1,1,1,1,3,1,3,1,1,1,1,2,2,3,3,2,2,1,1,1,1,1,1,1,3,2,3,3,3,3
1,0,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2
1,0,1,3,1,1,3,3,3,2,3,2,3,3,2,2,4,2,2,2,1,1,1,1,1,1,1,4,3,3,3,3
1,0,1,2,1,2,3,3,4,2,1,1,1,4,4,2,4,3,4,3,1,2,2,2,2,2,2,3,4,4,4,2
1,0,1,3,1,1,3,2,4,2,3,2,2,3,3,2,4,4,3,2,2,2,2,1,3,2,2,NA,3,1,3,3
1,0,1,1,1,1,1,1,1,2,2,1,1,3,2,2,2,2,1,1,1,2,1,2,3,1,3,4,4,4,4,4
1,0,1,1,1,2,1,2,2,1,2,1,1,2,2,2,2,2,2,1,2,1,1,1,2,1,3,3,4,3,4,3
